id,active,created,description,display_name,inclusive,jurisdiction,livemode,metadata,percentage,_fivetran_synced
txr_1N6Lr9FCPJnn9IgIopw34A0e,False,2023-05-10 22:51:35+00:00,,Sales Tax,False,California,True,{},8.125,2025-08-01 00:34:24.032000+00:00
txr_1Rr6sEFCPJnn9IgIG1Z7TnkK,False,2025-08-01 00:31:02+00:00,,Sales Tax,True,Ohio,True,{},6.5,2025-08-01 00:31:02.617000+00:00
txr_1PFOwkFCPJnn9IgIGCI7oJbI,False,2024-05-11 23:03:18+00:00,,Sales Tax,False,Washington,True,{},10.5,2025-08-02 00:32:59.830000+00:00
txr_1NK29iFCPJnn9IgIpfDGGS22,False,2023-06-17 16:39:18+00:00,,Sales Tax,False,Alaska,True,{},5.5,2025-08-02 00:31:53.335000+00:00
txr_1RZPH7FCPJnn9IgIrKHyW88O,False,2025-06-13 04:31:33+00:00,,Sales Tax,True,Alaska,True,{},5.5,2025-08-02 00:31:53.335000+00:00
txr_1Of3d2FCPJnn9IgIq7o92BoN,False,2024-02-01 17:00:44+00:00,,Sales Tax,False,Colorado,True,{},8.27,2025-08-02 00:37:01.731000+00:00
txr_1N8pBAFCPJnn9IgIdY1G7ngj,False,2023-05-17 18:34:28+00:00,,Sales Tax,False,Arizona,True,{},10.35,2025-08-02 00:37:32.321000+00:00
txr_1RlNgcFCPJnn9IgI9nRFJZFP,False,2025-07-16 05:15:22+00:00,,Sales Tax,True,North Dakota,True,{},8.0,2025-08-02 00:33:08.872000+00:00
txr_1N73LgFCPJnn9IgIiB9lB3Vw,False,2023-05-12 21:18:00+00:00,,Sales Tax,False,North Dakota,True,{},7.5,2025-08-02 00:36:57.943000+00:00
txr_1Nj8rNFCPJnn9IgIbw2MfwgV,False,2023-08-25 22:52:09+00:00,,Sales Tax,False,Oklahoma,True,{},6.25,2025-08-02 00:36:59.725000+00:00
txr_1Rj4UUFCPJnn9IgIrRmpHOc0,False,2025-07-09 20:21:18+00:00,,Sales Tax,True,Illinois,True,{},8.35,2025-08-03 00:33:36.412000+00:00
